Product,Usage Identifier,nrFpuEdition,nrUnitOfMeasure
New Relic Savings Plan - HIPAA Compliance (NHC) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - HIPAA Compliance (NHC) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Historical Data Export (HDE) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Historical Data Export (HDE) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Historical Data Export (HDE) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Increase Mobile API Limit (IML) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Increase Mobile API Limit (IML) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Increase Mobile API Limit (IML) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Increased Query Duration (IQD) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Increased Query Duration (IQD) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Increased Query Duration (IQD) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Increased Query Limit (IQL) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Increased Query Limit (IQL) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Increased Query Limit (IQL) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Infra-Bytes (IGB) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Infra-Bytes (IGB) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Infra-Bytes (IGB) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Interactive Application Security Testing (IAST) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
